Ulasan,AMBIENCE#GENERAL,DRINK#QUALITY,FOOD#QUALITY,RESTAURANT#GENERAL,SERVICE#GENERAL
It has great sushi and even better service.,,,positive,,positive
The entire staff was extremely accomodating and tended to my every need.,,,,,positive
I've been to this restaurant over a dozen times with no complaints to date.,,,,positive,
Snotty Attitude,,,,,negative
We were treated very rudely here one time for breakfast.,,,,,negative
The owner is belligerent to guests that have a complaint.,,,,,negative
We never had to wait more than 5 minutes.,,,,,positive
The staff is pretty friendly.,,,,,positive
"THe Pizza and wine were excellent, the service too but what really MADE this place was the backyard dining area.",positive,positive,positive,,positive
The wine the service was very good too.,,positive,,,positive
"We love the food, drinks, and atmosphere!",positive,positive,positive,,
"Nice ambience, but highly overrated place.",positive,,,negative,
Worst Service I Ever Had,,,,,negative
Everyone that sat in the back outside agreed that it was the worst service we had ever received.,,,,,negative
"I complained to the manager, but he was not even apologetic.",,,,,negative
The wine list is wonderful and the food reminds me of my recent trip to Italy.,,,positive,,
I love this restaurant,,,,positive,
"I will never forget the amazing meal, service, and ambiance I experience at this restaurant.",positive,,positive,,positive
"The wine list is incredible and extensive and diverse, the food is all incredible and the staff was all very nice, good at their jobs and cultured.",,,positive,,positive
Finally a meal that you will remember for a long time!,,,positive,,
"In a age of incremental cost cutting in restaurants, its nice to see a place that bucks that trend, and just plain delivers high quality food and good service, period.",,,positive,,positive
This is the place to relax and enjoy the finest quality food the industry can offer.,positive,,positive,,
Very Disappointing,,,,negative,
I took my parents here for their anniversary very disappointed!!!,,,,negative,
I liked the atmosphere very much but the food was not worth the price.,positive,,negative,,
Freshest sushi I love this restaurant.,,,positive,positive,
They pay such detail to everything from miso soup to complex rolls.,,,positive,,
The sashimi was the freshest and most tender I have ever tasted.,,,positive,,
Their apps are all delicious.,,,positive,,
"But the space is small and lovely, and the service is helpful.",positive,,,,positive
You are bound to have a very charming time.,,,,positive,
Not recommanded!!!,,,,negative,
The food was not great & the waiters were rude.,,,negative,,negative
It is not worth going at all and spend your money there!!!,,,,negative,
great service,,,,,positive
the bus boy even spotted that my table was shaking a stabilized it for me.,,,,,positive
"food was fine, with a some little tastier than normal salsa.",,,positive,,
If you're in the area you shouldn't be disappointed.,,,,positive,
"the food was great, the margaritas too but the waitress was too busy being nice to her other larger party than to take better care of my friend and me.",,,positive,,negative
I don't know if I'll be back....,,,,negative,
I live in the neighborhood and feel lucky to live by such a great pizza place.,,,,positive,
"the only problem is you really have to warm up the pizza before it's edible, even when you order ahead.",,,negative,,
Best Sushi in town.,,,positive,,
"The food is great, the bartenders go that extra mile.",,,positive,,positive
The owners are great fun and the beer selection is worth staying for.,,,,,positive
And the upstairs is a great place to hang out.,positive,,,,
Kudos to these guys.,,,,positive,
I found a new home and just moved with a long lease.,,,,positive,
The sushi here is delicious!,,,positive,,
"Worst wine selection, Gigondas is worth the price, and the house champagne is a great value.",,negative,,,
The drinks are always well made and wine selection is fairly priced.,,positive,,,
The staff is incredibly helpful and attentive.,,,,,positive
This is one of my favorite restaurants and it is not to be missed.,,,,positive,
The food is authentic Italian - delicious!,,,positive,,
"Ambience is delightful, service impeccable.",positive,,,,positive
"The blond wood decor is very soothing, the premium sake is excellent and the service is great.",positive,positive,,,positive
The service was courteous and attentive.,,,,,positive
Unless you are just stopping in for a few drinks I wouldn't recommend going here.,,,,negative,
You are likely to be disappointed.,,,,negative,
"Excellent food, nice ambience, fairly expensive",positive,,positive,,
The ambiance was a peaceful and relaxing break amongst all the kids running around in Downtown Disney.,positive,,,,
"It was romantic  and even nice even with my sister, reminded me of Italy, and had artwork and music that kept up the feeling of being in a Mediterrean villa.",positive,,,,
I recommend it for a night when you want to splurge! (it was a bit expensive),,,,positive,
Best Indian food in L.A.,,,positive,,
Never too crowded and always great service.,,,,,positive
"We have been to this place many times, and always have great food, wine, and service.",,positive,positive,,positive
we had a worst glass of wine while we waited.,,negative,,,
The food was all good but it was way too mild.,,,negative,,
"Normally, places ask how hot you want it, but they didn't.",,,,,negative
I should have thought to bring it up but never expected the food to be that mild.,,,negative,,
And they packaged everything nicely so it didn't spill.,,,,,positive
"I don't understand how I was a stranger to this place for so long... the fajita salad, the colorado, the fajitas  EVERYTHING is delicious.",,,positive,positive,
I love the warm & cosy environment.,positive,,,,
"best restaurant in the world, great decor, great customer service, friendly manager",positive,,,positive,positive
i am never disappointed with there food.,,,positive,,
the atmosphere is great.,positive,,,,
great lunch spot,,,,positive,
Great financial district mexican spot.,,,,positive,
"Always busy, but they are good at seating you promptly and have quick service.",,,,,positive
