opini,AMBIENCE#GENERAL,DRINK#QUALITY,FOOD#QUALITY,RESTAURANT#GENERAL,SERVICE#GENERAL
it has great sushi,,,positive,,
even better service,,,,,positive
the entire staff was extremely accomodating,,,,,positive
snotty attitude,,,,,negative
we were treated very rudely,,,,,negative
the owner is belligerent,,,,,negative
the staff is pretty friendly,,,,,positive
the pizza was excellent,,,positive,,
wine were excellent,,positive,,,
the service was excellent,,,,,positive
the wine was good,,positive,,,
the service was very good too,,,,,positive
we love the food,,,positive,,
we love the drink,,positive,,,
we love the atmosphere,positive,,,,
nice ambience,positive,,,,
highly overrated place,,,,negative,
worst service i ever,,,,,negative
the worst service we had ever,,,,,negative
he was not even apologetic,,,,,negative
the wine list is wonderful,,positive,,,
the food reminds me,,,positive,,
love this restaurant,,,,positive,
the amazing meal,,,positive,,
the amazing service,,,,,positive
amazing ambiance i experience at,positive,,,,
the wine list is incredible,,positive,,,
the food is all incredible,,,positive,,
the staff was very nice,,,,,positive
just plain delivers high quality food,,,positive,,
good service,,,,,positive
the place to relax,positive,,,,
the finest quality food,,,positive,,
very dissapointment,,,,negative,
the food was very dissapointment,,,negative,,
the atmosphere very much,positive,,,,
the food was not worth,,,negative,,
freshest sushi i love,,,positive,,
love this restaurant,,,,positive,
everything from miso soup,,,positive,,
the sashimi was the freshest,,,positive,,
their apps are delicious,,,positive,,
the space is small,positive,,,,
the service is helpful,,,,,positive
a very charming time,,,,positive,
not recommended,,,,negative,
the food was not great,,,negative,,
the waiters were rude,,,,,negative
it is not worth,,,,negative,
great service,,,,,positive
food was fine,,,positive,,
not be disappointed,,,,positive,
the food was great,,,positive,,
the margaritas too,,positive,,,
the waitress was too busy,,,,,negative
a great pizza place,,,positive,,
the pizza before it is edible,,,negative,,
best sushi in town,,,positive,,
the food is great,,,positive,,
the bartenders go that extra mile,,,,,positive
the owners are great fun,,,,,positive
the beer selection is worth,,positive,,,
a great place,positive,,,,
a new home,,,,positive,
the sushi here is delicious,,,positive,,
worst wine selection,,negative,,,
the drinks are always well,,positive,,,
wine selection is fairly,,positive,,,
the staff is incredibly helpful,,,,,positive
one of my favorite restaurant,,,,positive,
the food is authentic italian,,positive,,,
ambience is delightful,positive,,,,
service impeccable,,,,,positive
the blond wood decor is very soothing,positive,,,,
the premium sake is excellent,,positive,,,
the service is great,,,,,positive
the service was courteous,,,,,positive
not recommend,,,,negative,
be disappointed,,,,negative,
excellent food,,,positive,,
nice ambience,positive,,,,
the ambiance was peaceful,positive,,,,
it was romantic,positive,,,,
best indian food in l.a,,,positive,,
